scenario,seed,head,qwk,acc_pct,mae,rmse,macro_p,macro_r,macro_f1,wtd_p,wtd_r,wtd_f1,params_total,params_m,model_size_mb,infer_ms_per_img,throughput_img_s,peak_mem_mb,p_no_dr,r_no_dr,f1_no_dr,p_mild,r_mild,f1_mild,p_moderate,r_moderate,f1_moderate,p_severe,r_severe,f1_severe,p_proliferative_dr,r_proliferative_dr,f1_proliferative_dr
multi_nominal_resnet50_effnetb3,33,CE,0.8386,78.4741,0.3025,0.7176,0.6336,0.6589,0.624,0.8051,0.7847,0.7854,1522981,1.523,5.9393,7.0722,141.398,nan,0.9833,0.9779,0.9806,0.5849,0.8378,0.6889,0.7317,0.6,0.6593,0.3056,0.5789,0.4,0.5625,0.3,0.3913
multi_nominal_resnet50_effnetb3,81,CE,0.8529,80.654,0.2725,0.6806,0.6684,0.6749,0.6583,0.8186,0.8065,0.8072,1522981,1.523,5.9393,7.4206,134.7607,nan,0.9944,0.9724,0.9832,0.5714,0.7568,0.6512,0.7216,0.7,0.7107,0.4074,0.5789,0.4783,0.6471,0.3667,0.4681
multi_nominal_resnet50_effnetb3,5,CE,0.8465,80.9264,0.2698,0.6866,0.6399,0.6236,0.6215,0.8061,0.8093,0.8032,1522981,1.523,5.939,7.1223,140.4034,nan,0.9833,0.9779,0.9806,0.5918,0.7838,0.6744,0.7238,0.76,0.7415,0.3125,0.2632,0.2857,0.5882,0.3333,0.4255
multi_ordinal_resnet50_effnetb3,33,CORAL,0.8677,80.654,0.2589,0.6372,0.6574,0.6362,0.6307,0.8108,0.8065,0.802,1518884,1.5189,5.9252,7.0696,141.4517,nan,0.9888,0.9779,0.9833,0.619,0.7027,0.6582,0.7037,0.76,0.7308,0.36,0.4737,0.4091,0.6154,0.2667,0.3721
multi_ordinal_resnet50_effnetb3,81,CORAL,0.8473,77.9292,0.2861,0.6746,0.6285,0.5949,0.5819,0.7929,0.7793,0.7739,1518884,1.5189,5.9252,7.4329,134.5376,nan,0.9779,0.9779,0.9779,0.4902,0.6757,0.5682,0.7,0.7,0.7,0.3077,0.4211,0.3556,0.6667,0.2,0.3077
multi_ordinal_resnet50_effnetb3,5,CORAL,0.8822,77.1117,0.2725,0.6087,0.6661,0.6525,0.6166,0.8176,0.7711,0.7783,1518884,1.5189,5.9249,7.6952,129.9508,nan,1.0,0.9558,0.9774,0.52,0.7027,0.5977,0.6966,0.62,0.6561,0.2955,0.6842,0.4127,0.8182,0.3,0.439
multi_hybrid_resnet50_effnetb3,33,CE,0.8438,80.3815,0.2752,0.6905,0.6535,0.6285,0.6278,0.8078,0.8038,0.8001,1522981,1.523,5.9416,15.3064,65.3319,nan,0.9889,0.9834,0.9861,0.5185,0.7568,0.6154,0.7129,0.72,0.7164,0.4,0.3158,0.3529,0.6471,0.3667,0.4681
multi_hybrid_resnet50_effnetb3,81,CE,0.8542,80.3815,0.2725,0.6806,0.644,0.6319,0.6332,0.8034,0.8038,0.8015,1522981,1.523,5.9416,15.7115,63.6478,nan,0.9725,0.9779,0.9752,0.5652,0.7027,0.6265,0.73,0.73,0.73,0.3333,0.3158,0.3243,0.619,0.4333,0.5098
multi_hybrid_resnet50_effnetb3,5,CE,0.8686,80.3815,0.2643,0.6457,0.6534,0.6312,0.6368,0.8033,0.8038,0.8009,1522981,1.523,5.9413,9.8003,102.0374,nan,0.9888,0.9779,0.9833,0.5833,0.5676,0.5753,0.6875,0.77,0.7264,0.4286,0.4737,0.45,0.5789,0.3667,0.449
multi_hybrid_resnet50_resnet50,33,CE,0.8607,78.2016,0.2834,0.6603,0.6452,0.6505,0.6242,0.8039,0.782,0.7822,1522981,1.523,5.9435,6.9571,143.7389,nan,0.9727,0.9834,0.978,0.4912,0.7568,0.5957,0.7407,0.6,0.663,0.3548,0.5789,0.44,0.6667,0.3333,0.4444
multi_hybrid_resnet50_resnet50,81,CE,0.8534,78.2016,0.2916,0.6866,0.6265,0.6143,0.6143,0.7895,0.782,0.7835,1522981,1.523,5.9435,6.8702,145.5572,nan,0.9779,0.9779,0.9779,0.5476,0.6216,0.5823,0.6768,0.67,0.6734,0.28,0.3684,0.3182,0.65,0.4333,0.52
multi_hybrid_resnet50_resnet50,5,CE,0.8533,80.3815,0.267,0.6685,0.6579,0.626,0.6287,0.808,0.8038,0.8002,1522981,1.523,5.9432,6.9079,144.7619,nan,0.9888,0.9779,0.9833,0.54,0.7297,0.6207,0.6981,0.74,0.7184,0.375,0.3158,0.3429,0.6875,0.3667,0.4783
teacher_nominal_resnet50_ce,shared,CE,0.8039,74.1144,0.3488,0.7636,0.5952,0.5711,0.5586,0.7622,0.7411,0.7398,23518277,23.5183,90.0223,73.2321,13.6552,nan,0.9725,0.9779,0.9752,0.3768,0.7027,0.4906,0.6429,0.54,0.587,0.3684,0.3684,0.3684,0.6154,0.2667,0.3721
teacher_nominal_effnetb3_ce,shared,CE,0.8562,80.109,0.2698,0.6664,0.6749,0.6411,0.634,0.8118,0.8011,0.7972,10703917,10.7039,41.3729,53.1272,18.8227,nan,0.9834,0.9834,0.9834,0.5263,0.5405,0.5333,0.7009,0.75,0.7246,0.4138,0.6316,0.5,0.75,0.3,0.4286
teacher_ordinal_resnet50_coral,shared,CORAL,0.8901,79.564,0.248,0.5836,0.6525,0.6173,0.5942,0.8196,0.7956,0.7925,23510084,23.5101,89.9931,90.2321,11.0825,nan,0.9944,0.9724,0.9832,0.7188,0.6216,0.6667,0.7222,0.78,0.75,0.2558,0.5789,0.3548,0.5714,0.1333,0.2162
teacher_ordinal_effnetb3_coral,shared,CORAL,0.8735,82.8338,0.2343,0.622,0.6913,0.638,0.6512,0.8281,0.8283,0.8219,10697772,10.6978,41.3532,50.5073,19.7991,nan,0.9889,0.9834,0.9861,0.5897,0.6216,0.6053,0.7328,0.85,0.787,0.4118,0.3684,0.3889,0.7333,0.3667,0.4889
teacher_hybrid_re_resnet50_ce,shared,CE,0.8039,74.1144,0.3488,0.7636,0.5952,0.5711,0.5586,0.7622,0.7411,0.7398,23518277,23.5183,90.0244,83.797,11.9336,nan,0.9725,0.9779,0.9752,0.3768,0.7027,0.4906,0.6429,0.54,0.587,0.3684,0.3684,0.3684,0.6154,0.2667,0.3721
teacher_hybrid_re_effnetb3_coral,shared,CORAL,0.8735,82.8338,0.2343,0.622,0.6913,0.638,0.6512,0.8281,0.8283,0.8219,10697772,10.6978,41.3531,67.7389,14.7626,nan,0.9889,0.9834,0.9861,0.5897,0.6216,0.6053,0.7328,0.85,0.787,0.4118,0.3684,0.3889,0.7333,0.3667,0.4889
teacher_hybrid_rr_resnet50_ce,shared,CE,0.8039,74.1144,0.3488,0.7636,0.5952,0.5711,0.5586,0.7622,0.7411,0.7398,23518277,23.5183,90.0244,87.6783,11.4053,nan,0.9725,0.9779,0.9752,0.3768,0.7027,0.4906,0.6429,0.54,0.587,0.3684,0.3684,0.3684,0.6154,0.2667,0.3721
teacher_hybrid_rr_resnet50_coral,shared,CORAL,0.8901,79.564,0.248,0.5836,0.6525,0.6173,0.5942,0.8196,0.7956,0.7925,23510084,23.5101,89.9941,77.047,12.9791,nan,0.9944,0.9724,0.9832,0.7188,0.6216,0.6667,0.7222,0.78,0.75,0.2558,0.5789,0.3548,0.5714,0.1333,0.2162
